category,italian,pronunciation,translation,examples
adverb,appena,[аппе́нна],только что / едва,Appena arrivato. Appena finito.
verb,appendere,[аппе́ндере],вешать,Io appendo il quadro. Tu appendi la borsa.
verb,appoggiare,[апподжа́ре],опираться / ставить,Io appoggio il bicchiere. Tu appoggi la borsa.
noun,appunto,[аппу́нто],именно / заметка,Appunto! È vero. Ho un appunto.
noun,aprile,[апри́ле],апрель,Aprile è bello. In aprile è primavera.
noun,architetto,[арки́тетто],архитектор,L’architetto è bravo. L’architetto lavora.
noun,aria,[а́рья],воздух,L’aria è fresca. C’è aria buona.
verb,arrivare,[аррива́ре],прибывать,Io arrivo a Roma. Tu arrivi domani. Il treno arriva.
verb,ascoltare,[аскольта́ре],слушать,Io ascolto la musica. Tu ascolti la mamma. Ascoltiamo!
verb,aspettare,[аспетта́ре],ждать,Io aspetto l’amico. Tu aspetti il caffè. Aspettiamo insieme.
noun,atmosfera,[атмосфе́ра],атмосфера,L’atmosfera è magica. L’atmosfera è romantica.
noun,attimo,[а́ттимо],мгновение,Un attimo! In un attimo arrivo.
verb,augurare,[аугура́ре],желать,Io auguro buonanotte. Tu auguri buon viaggio.
verb,avere,[авэ́ре],иметь,Io ho fame. Tu hai tempo. Abbiamo un’idea.
noun,avventura,[аввенту́ра],приключение,L’avventura è bella. Un’avventura romantica.
verb,avvicinare,[аввичина́ре],приближать,Io mi avvicino. Tu ti avvicini al tavolo.
noun,bancarella,[банкаре́лла],лоток / прилавок,Alla bancarella c’è il formaggio.
noun,bar,[бар],бар,Andiamo al bar. Il bar è vicino.
verb,basta,[ба́ста],хватит,Basta! È troppo.
adjective,bello,[бэ́лло],красивый,La serata è bella. Il film è bello. Roma è bella.
adverb,bene,[бэ́не],хорошо,Sto bene. Va bene. Tutto bene.
noun,bicchiere,[биккье́ре],стакан,Un bicchiere di vino. Il bicchiere è pieno.
noun,biscotto,[биско́тто],печенье,Un biscotto con il caffè.
interjection,boom,[бум],бум,Un boom di gente.
noun,borsa,[бо́рса],сумка,La borsa è grande. Prendo la borsa.
noun,braccio,[бра́ччо],рука (плечо),Il braccio è lungo. Prendo per il braccio.
adjective,breve,[брэ́ве],короткий,Una breve passeggiata. Un breve momento.
adjective,buffo,[бу́ффо],забавный,È buffo! La scena è buffa.
adjective,buono,[буо́но],хороший / вкусный,Il caffè è buono. La serata è buona.
interjection,buonanotte,[буонанно́тте],спокойной ночи,"Buonanotte! Buonanotte, amore."
verb,cadere,[каде́ре],падать,Io cado. Il bicchiere cade.
noun,caffè,[каффэ́],кофе,Un caffè per favore. Il caffè è caldo.
adjective,caldo,[ка́льдо],жарко / тёплый,Fa caldo. Il caffè è caldo.
noun,calma,[ка́льма],спокойствие,Calma! Tutto è calma.
noun,cameriere,[камерье́ре],официант,Il cameriere arriva. Il cameriere porta il caffè.
verb,camminare,[каммина́ре],ходить,Io cammino in piazza. Tu cammini con me.
noun,capello,[капэ́лло],волос,I capelli sono lunghi.
verb,capire,[капи́ре],понимать,Io capisco. Tu capisci italiano. Capiamo tutto.
adjective,carino,[кари́но],милый,È carino! La ragazza è carina.
noun,casa,[ка́за],дом,A casa. La casa è grande. Vado a casa.
noun,cenno,[че́нно],кивок,Con un cenno della testa.
verb,cercare,[черка́ре],искать,Io cerco il telefono. Tu cerchi la chiave. Cerchiamo insieme.
adverb,certo,[че́рто],конечно,Certo! Certo che sì.
conjunction,che,[ке],что / который,Che bello! Che cosa?
noun,chiacchierata,[кьяккера́та],болтовня,Una bella chiacchierata.
verb,chiamare,[кьяма́ре],звать / называть,Io chiamo l’amico. Tu chiami la mamma.
verb,chiedere,[кье́дере],спрашивать,Io chiedo un caffè. Tu chiedi la strada.
verb,chiudere,[кью́дере],закрывать,Io chiudo la finestra. Tu chiudi la porta.
pronoun,ci,[чи],нам / туда,Ci piace. Ci vediamo.
interjection,ciao,[чья́о],привет / пока,Ciao! Ciao amico!
noun,cinema,[чи́нема],кино,Andiamo al cinema. Il cinema è vicino.
noun,città,[читта́],город,La città è bella. A Roma in città.
adjective,classico,[кла́ссико],классический,Un film classico. La commedia è classica.
verb,cogliere,[колье́ре],улавливать,Io colgo l’occasione.
adverb,come,[ко́ме],как,Come stai? Come va?
verb,cominciare,[коминча́ре],начинать,Io comincio. Tu cominci la serata. Cominciamo!
noun,commedia,[комме́диа],комедия,Una commedia romantica. Il film è una commedia.
adjective,comodo,[ко́модо],удобный,La sedia è comoda. Il posto è comodo.
noun,compagnia,[компаньи́а],компания,In buona compagnia. Con la compagnia.
adverb,completamente,[комплетамэ́нте],полностью,Completamente d’accordo.
verb,comprare,[компра́ре],покупать,Io compro il caffè. Tu compri i biscotti.
adverb,comunque,[комму́нкве],в любом случае,Comunque è bello. Comunque andiamo.
preposition,con,[кон],с,Con l’amico. Con la mamma. Con il caffè.
verb,concentrarsi,[кончентра́рси],сосредоточиться,Io mi concentro. Tu ti concentri.
verb,concludere,[конклю́дере],заканчивать,Io concludo la serata.
noun,conoscenza,[коношэ́нца],знакомство,Una conoscenza nuova.
verb,conoscere,[коно́шере],знать,Io conosco Roma. Tu conosci l’Italia.
adjective,contento,[конте́нто],довольный,Sono contento. La mamma è contenta.
verb,continuare,[континуа́ре],продолжать,Io continuo a parlare. Tu continui a ridere.
noun,coppia,[ко́ппиа],пара,Una coppia felice. La coppia ride.
verb,coprire,[копри́ре],покрывать,Io copro la tavola.
noun,cosa,[ко́за],вещь / что,Che cosa? Una cosa bella.
adverb,così,[ко́зи],так,Così è bello. Così va bene.
verb,credere,[крэ́дере],верить,Io credo. Tu credi?
noun,cucchiaio,[куккья́йо],ложка,Il cucchiaio è sul tavolo.
noun,cucina,[кучи́на],кухня,In cucina. La cucina è grande.
adjective,curioso,[курио́зо],любопытный,Sono curioso. Il ragazzo è curioso.
preposition,da,[да],от / из,Da Roma. Da casa.
verb,dare,[да́ре],давать,Io do un caffè. Tu dai un sorriso.
adverb,davvero,[даверо́],действительно,È davvero bello. Davvero?
verb,decidere,[дечи́дере],решать,Io decido. Tu decidi di restare.
preposition,degli,[де́льи],некоторых (мн.),Degli amici. Degli italiani.
preposition,dei,[де́и],некоторых (мн.),Dei biscotti. Dei bicchieri.
preposition,del,[дель],о / из,Del caffè. Del vino.
preposition,dentro,[де́нтро],внутри,Dentro la casa. Dentro il bar.
verb,detto,[де́тто],сказанный,Come ho detto. Come detto prima.
verb,devo,[дэ́во],я должен,Devo andare. Devo studiare.
preposition,di,[ди],о / из / от,Di Roma. Di sera.
noun,dialogo,[диа́лого],диалог,Un bel dialogo. Il dialogo è divertente.
adjective,difficile,[диффи́чиле],трудный,È difficile. La cosa è difficile.
verb,dire,[ди́ре],говорить,Io dico. Tu dici la verità.
verb,diventare,[дивента́ре],становиться,Io divento felice. Tu diventi bravo.
adjective,diverso,[диве́рсо],разный,Un giorno diverso. Un posto diverso.
verb,divertire,[диверти́ре],развлекать,Io mi diverto. Tu ti diverti. Ci divertiamo.
adjective,dolce,[до́льче],сладкий,Il biscotto è dolce. La vita è dolce.
adverb,domani,[дома́ни],завтра,Domani andiamo. Domani è venerdì.
adverb,dopo,[до́по],после,Dopo il caffè. Dopo la passeggiata.
adverb,dove,[до́ве],где,Dove vai? Dove è il bar?
adjective,due,[ду́э],два,Due caffè. Due bicchieri.
preposition,durante,[дура́нте],во время,Durante la serata. Durante il film.
conjunction,e,[э],и,Io e te. Caffè e biscotti.
noun,edificio,[эдифи́чо],здание,L’edificio è grande.
noun,editore,[эди́торе],издатель,L’editore è italiano.
interjection,ehi,[эй],эй,Ehi! Vieni qui!
adjective,emozionato,[эмоцьона́то],взволнованный,Sono emozionato. La ragazza è emozionata.
noun,energia,[энерджи́а],энергия,Tanta energia. L’energia è pimpante.
adverb,energicamente,[энергичамэ́нте],энергично,Parla energicamente.
noun,esame,[эза́ме],экзамен,L’esame è difficile.
adjective,esatto,[эза́тто],точно,Esatto! È esatto.
noun,espressione,[эспрессёне],выражение,Un’espressione buffa.
verb,essere,[э́ссере],быть,Io sono felice. Tu sei bravo. È bello.
verb,fare,[фа́ре],делать,Io faccio un caffè. Tu fai una passeggiata.
noun,fascino,[фа́шино],очарование,Il fascino di Roma.
adjective,felice,[фели́че],счастливый,Sono felice. La coppia è felice.
noun,Fellini,[Фелли́ни],Феллини (имя),Il film di Fellini.
verb,fermarsi,[ферма́рси],останавливаться,Io mi fermo. Tu ti fermi. Ci fermiamo.
noun,fidanzata,[фиданца́та],невеста,La mia fidanzata è carina.
noun,figlio,[фи́льо],сын,Il figlio è piccolo. Il mio figlio ride.
noun,film,[фильм],фильм,Un film romantico. Il film è bello.
adverb,finalmente,[финальмэ́нте],наконец,Finalmente! Finalmente arriva.
noun,fine,[фи́не],конец,Alla fine della serata.
noun,finestra,[финэ́стра],окно,La finestra è aperta.
verb,finire,[фини́ре],заканчивать,Io finisco il caffè. Tu finisci il film.
preposition,fino,[фи́но],до,Fino a domani. Fino alla fine.
noun,formaggio,[форма́джо],сыр,Il formaggio è buono.
adverb,forse,[фо́рсе],возможно,Forse sì. Forse domani.
adjective,fresco,[фрэ́ско],свежий,L’aria è fresca. Il vino è fresco.
noun,fretta,[фрэ́тта],спешка,In fretta. Ho fretta.
adverb,fuori,[фуо́ри],снаружи,Fuori è bello. Fuori c’è il sole.
adjective,furbo,[фу́рбо],хитрый,È furbo! Il ragazzo è furbo.
noun,futuro,[фу́туро],будущее,Il futuro è bello.
verb,garantire,[гаранти́ре],гарантировать,Io garantisco.
noun,gente,[дже́нте],люди,Tanta gente. La gente è simpatica.
adjective,gentile,[дженти́ле],вежливый,È gentile. La mamma è gentile.
noun,ginocchio,[джино́ккьо],колено,Sul ginocchio.
noun,giornata,[джорна́та],день,Una bella giornata. La giornata è luminosa.
noun,giorno,[джо́рно],день,Ogni giorno. Un buon giorno.
verb,giurare,[джура́ре],клясться,Io giuro. Tu giuri.
adjective,giusto,[джу́сто],правильный,È giusto. Il momento è giusto.
adverb,già,[джа́],уже,Già finito. Già detto.
pronoun,gli,[льи],им / ему,Gli piace. Gli dico.
verb,godere,[годэ́ре],наслаждаться,Io godo il momento. Tu godi la serata.
adjective,grande,[гра́нде],большой,La piazza è grande. Un grande sorriso.
interjection,grazie,[гра́цие],спасибо,Grazie! Grazie mille!
noun,grissino,[гриссúно],гриссини (палочки),Un grissino con il salume.
verb,guardare,[гуарда́ре],смотреть,Io guardo il film. Tu guardi la piazza.
verb,gustare,[густа́ре],наслаждаться вкусом,Io gusto il caffè. Tu gusti il vino.
adverb,ieri,[йе́ри],вчера,Ieri sera. Ieri al cinema.
noun,idea,[иде́а],идея,Un’idea bella. Ho un’idea.
article,il,[иль],определённый артикль (м.р.),Il caffè. Il bar. Il film.
verb,illuminare,[иллюмина́ре],освещать,La luce illumina la piazza.
adjective,impaziente,[импацье́нте],нетерпеливый,Sono impaziente.
verb,impazzire,[импацци́ре],сходить с ума,Io impazzisco. Tu impazzisci di gioia.
preposition,in,[ин],в,In piazza. In casa. In Italia.
noun,incantesimo,[инкантэ́зимо],волшебство,Un incantesimo d’amore.
verb,inciampare,[инчампа́ре],споткнуться,Io inciampo. Tu inciampi sul marciapiede.
verb,incontrare,[инконтра́ре],встречать,Io incontro l’amico. Tu incontri la fidanzata.
noun,incontro,[инко́нтро],встреча,Un incontro romantico.
adjective,indeciso,[индечи́зо],нерешительный,Sono indeciso.
verb,iniziare,[инициа́ре],начинать,Io inizio. Tu inizi la serata.
adverb,insieme,[инсье́ме],вместе,Insieme andiamo. Insieme ridiamo.
adverb,intanto,[инта́нто],тем временем,Intanto mangio. Intanto aspetto.
adverb,invece,[инве́че],вместо / а,Invece io vado. Invece tu resti.
pronoun,io,[и́о],я,Io vado. Io sono felice.
adjective,italiano,[италья́но],итальянский,L’italiano è bello. Parlo italiano.
article,l,[ль],определённый артикль (перед гласной),L’amico. L’aria. L’idea.
article,la,[ла],определённый артикль (ж.р.),La casa. La mamma. La piazza.
noun,lampione,[лампьо́не],фонарь,Il lampione illumina la strada.
verb,lanciare,[ланча́ре],бросать,Io lancio un sorriso.
noun,Laura,[Ла́ура],Лаура (имя),Laura è carina. Laura ride.
noun,lavoro,[лаво́ро],работа,Il lavoro è buono. Dopo il lavoro.
article,le,[ле],определённый артикль (ж.р. мн.),Le ragazze. Le idee.
pronoun,lei,[лей],она / Вы,Lei è bella. Lei ride.
noun,letto,[ле́тто],кровать,A letto. Nel letto.
noun,Lettonia,[Летто́ния],Латвия,Dalla Lettonia.
noun,libro,[ли́бро],книга,Il libro è interessante.
noun,limone,[лимо́не],лимон,Un limone nel tè.
article,lo,[ло],определённый артикль (м.р. перед s/z),Lo zucchero. Lo spettacolo.
pronoun,loro,[ло́ро],они,Loro ridono. Loro sono felici.
noun,luce,[лу́че],свет,La luce è luminosa.
pronoun,lui,[лу́и],он,Lui ride. Lui arriva.
adjective,luminoso,[люмино́зо],светлый,Il giorno è luminoso.
adjective,lungo,[лу́нго],длинный,La strada è lunga. Un lungo momento.
adverb,lì,[ли],там,Lì c’è il bar. Lì è bello.
conjunction,ma,[ма],но,È bello ma tardi. Ma sì!
adverb,magari,[мага́ри],может быть,Magari domani. Magari sì.
noun,maggio,[ма́джо],май,In maggio è bello.
adjective,magico,[ма́джико],волшебный,Un momento magico.
adverb,mai,[май],никогда,Mai più. Non mai.
adjective,malizioso,[малицьо́зо],лукавый,Uno sguardo malizioso.
noun,mamma,[ма́мма],мама,La mamma ride. La mamma è felice.
verb,mandare,[манда́ре],посылать,Io mando un messaggio.
noun,mano,[ма́но],рука,Nella mano. La mano è calda.
noun,marciapiede,[марчапье́де],тротуар,Sul marciapiede.
noun,matrimonio,[матримо́нио],свадьба,Il matrimonio è bello.
noun,mattina,[матти́на],утро,Stamattina. La mattina è luminosa.
pronoun,me,[ме],мне / меня,Con me. Per me.
adverb,meglio,[ме́льо],лучше,Meglio così. È meglio.
conjunction,mentre,[ме́нтре],пока / в то время как,Mentre mangio. Mentre aspetto.
noun,mese,[ме́зе],месяц,Un mese fa. Il mese prossimo.
noun,messaggio,[месса́джо],сообщение,Un messaggio romantico.
verb,mettere,[метте́ре],класть,Io metto il bicchiere. Tu metti la borsa.
noun,mezzo,[ме́дзо],половина / средство,A mezzogiorno. In mezzo alla piazza.
pronoun,mi,[ми],мне / меня,Mi piace. Mi chiamo.
adjective,migliore,[мильо́ре],лучший,Il migliore amico. La migliore serata.
adjective,minimo,[ми́нимо],минимальный,Al minimo.
adjective,mio,[ми́о],мой,Il mio amico. La mia casa.
adverb,molto,[мо́льто],очень / много,Molto bello. Molto felice.
noun,momento,[моме́нто],момент,Un bel momento. In questo momento.
noun,muro,[му́ро],стена,Al muro. Il muro è alto.
adjective,naturale,[натура́ле],естественный,È naturale.
adverb,naturalmente,[натуральмэ́нте],естественно,Naturalmente!
adverb,nemmeno,[немме́но],даже не,Nemmeno io. Nemmeno tu.
pronoun,niente,[нье́нте],ничего,Niente male. Non è niente.
interjection,no,[но],нет,No! No grazie.
pronoun,noi,[но́и],мы,Noi andiamo. Noi ridiamo.
adverb,non,[нон],не,Non vado. Non è bello.
adjective,nostro,[но́стро],наш,Il nostro amico. La nostra casa.
noun,notte,[но́тте],ночь,Buonanotte. Di notte.
noun,numero,[ну́меро],номер,Il numero di telefono.
adjective,nuovo,[нуо́во],новый,Un nuovo film. Una nuova idea.
conjunction,o,[о],или,Caffè o tè? Domani o oggi?
noun,occasione,[окказьо́не],случай,Un’occasione speciale.
noun,occhio,[о́ккьо],глаз,L’occhio è luminoso.
adjective,ogni,[о́ньи],каждый,Ogni giorno. Ogni momento.
interjection,oh,[о],о!,Oh! Che bello!
noun,oliva,[оли́ва],оливка,Le olive sono buone.
adverb,ora,[о́ра],сейчас / час,Ora vado. Che ora è?
verb,ordinare,[ордина́ре],заказывать,Io ordino un caffè. Tu ordini il vino.
verb,organizzare,[органидза́ре],организовывать,Io organizzo la serata.
adverb,ovviamente,[оввиамэ́нте],очевидно,Ovviamente!
noun,paese,[паэ́зе],страна / деревня,Il paese è bello.
noun,Palermo,[Пале́рмо],Палермо,A Palermo.
verb,parlare,[парла́ре],говорить,Io parlo italiano. Tu parli con me.
noun,parte,[па́рте],часть,Da parte mia.
verb,passare,[пасса́ре],проходить,Io passo il tempo. Tu passi la serata.
noun,passeggiata,[пасседжа́та],прогулка,Una bella passeggiata.
noun,passo,[па́ссо],шаг,Un passo avanti.
noun,patatina,[патати́на],чипсы,Le patatine sono buone.
noun,pausa,[па́уза],пауза,Una pausa caffè.
adjective,pazzo,[па́ццо],сумасшедший,Sei pazzo! È pazzesco.
adjective,pazzesco,[пацце́ско],безумный,È pazzesco!
verb,pensare,[пенса́ре],думать,Io penso a te. Tu pensi al futuro.
preposition,per,[пер],для / через,Per favore. Per me.
conjunction,perché,[перке́],почему / потому что,Perché ridi? Perché è bello.
verb,perdere,[перде́ре],терять,Io perdo tempo. Tu perdi la chiave.
adjective,perfetto,[перфе́тто],идеальный,Perfetto! È perfetto.
adjective,pericoloso,[периколо́зо],опасный,È pericoloso.
conjunction,però,[перо́],однако,È bello però tardi.
noun,petto,[пе́тто],грудь,Sul petto.
verb,piacere,[пьяче́ре],нравиться / приятно,Mi piace. Piacere!
adjective,piacevole,[пьяче́воле],приятный,La serata è piacevole.
verb,pianificare,[пьянифика́ре],планировать,Io pianifico il futuro.
noun,piano,[пья́но],медленно / план,Piano piano. Un piano magico.
noun,piazza,[пья́цца],площадь,In piazza. La piazza è piena.
adjective,pieno,[пье́но],полный,Il bicchiere è pieno. La piazza è piena di gente.
adjective,pimpante,[пимпа́нте],бодрый,Energia pimpante.
adverb,più,[пью],больше,Più bello. Sempre più.
adverb,po',[по],немного,Un po’ di tempo. Un po’ di caffè.
adverb,poi,[пой],потом,Poi andiamo. Poi mangiamo.
adjective,polacco,[пола́кко],польский,Il polacco è simpatico.
noun,Polonia,[Поло́ния],Польша,Dalla Polonia.
verb,porre,[по́рре],класть,Io pongo il bicchiere.
noun,posto,[по́сто],место,Un bel posto. Il posto è comodo.
verb,potere,[потэ́ре],мочь,Io posso. Tu puoi venire.
adjective,povero,[по́веро],бедный,Il povero ragazzo.
adjective,precedente,[пречеде́нте],предыдущий,Il giorno precedente.
adjective,preferito,[префери́то],любимый,Il mio preferito.
verb,preparare,[препара́ре],готовить,Io preparo il caffè. Tu prepari la tavola.
verb,prendere,[прэ́ндере],брать,Io prendo il caffè. Tu prendi la borsa.
verb,profumare,[профума́ре],пахнуть,Il caffè profuma.
verb,proiettare,[проетта́ре],проецировать,Il film è proiettato.
noun,proposito,[пропо́зито],намерение,A proposito.
adjective,proprio,[про́прио],именно / собственный,Proprio adesso. Proprio bello.
adjective,prossimo,[про́ссимо],следующий,Il prossimo mese. La prossima settimana.
noun,punto,[пу́нто],точка / момент,A un certo punto.
verb,può,[пуо́],может,Può venire. Può aspettare.
adjective,qualche,[куа́льке],какой-нибудь,Qualche volta. Qualche amico.
pronoun,qualcosa,[куалько́за],что-нибудь,Qualcosa di bello.
adverb,quando,[куа́ндо],когда,Quando arrivi? Quando andiamo?
adverb,quasi,[куа́зи],почти,Quasi finito. Quasi pronto.
adjective,quattro,[куа́ттро],четыре,Quattro amici.
adjective,quello,[куэ́лло],тот,Quello è il bar. Quella è la casa.
adjective,questo,[куэ́сто],этот,Questo è bello. Questa è la piazza.
adverb,qui,[куи́],здесь,Qui è bello. Vieni qui.
conjunction,quindi,[куи́нди],поэтому,Quindi andiamo. Quindi rido.
verb,raccomandare,[раккоманда́ре],рекомендовать,Io raccomando il film.
verb,raccontare,[ракконта́ре],рассказывать,Io racconto la storia. Tu racconti la serata.
noun,ragazza,[рага́цца],девушка,La ragazza è carina. La mia ragazza ride.
noun,ragazzo,[рага́ццо],парень,Il ragazzo è simpatico.
noun,ragione,[раджо́не],причина / право,Hai ragione.
noun,relazione,[реляцьо́не],отношения,Una bella relazione.
verb,restare,[реста́ре],оставаться,Io resto qui. Tu resti con me.
verb,ricordare,[рикорда́ре],помнить,Io ricordo. Tu ricordi il momento.
verb,ridere,[ри́дере],смеяться,Io rido. Tu ridi. Ridiamo insieme.
verb,ripensare,[рипенса́ре],передумать,Io ripenso. Tu ripensi alla serata.
verb,rispondere,[риспо́ндере],отвечать,Io rispondo. Tu rispondi.
verb,ritrovare,[ритрова́ре],находить снова,Io ritrovo l’amico.
noun,Roma,[Ро́ма],Рим,A Roma. Roma è bella.
adjective,romano,[рома́но],римский,Lo stile romano.
adjective,romantico,[романти́ко],романтический,Una serata romantica. Il film è romantico.
adjective,rosso,[ро́ссо],красный,Il vino rosso. La luce rossa.
noun,salume,[салу́ме],колбаса / закуски,I salumi sono buoni.
verb,sapere,[сапэ́ре],знать,Io so. Tu sai la strada.
verb,scambiare,[скамбья́ре],обмениваться,Io scambio un sorriso.
verb,scegliere,[шелье́ре],выбирать,Io scelgo il caffè. Tu scegli il vino.
adjective,scemo,[ше́мо],глупый,Sei scemo!
noun,scena,[ше́на],сцена,Una bella scena.
noun,schermo,[скэ́рмо],экран,Sullo schermo.
verb,scivolare,[шивола́ре],скользить,Io scivolo.
verb,scommettere,[скомметте́ре],спорить,Io scommetto.
verb,scoppiare,[скоппья́ре],взрываться,Scoppiare a ridere.
verb,scuotere,[скуо́тере],трясти,Io scuoto la testa.
verb,scrivere,[скри́вере],писать,Io scrivo un messaggio. Tu scrivi.
interjection,scusa,[ску́за],извини,Scusa! Scusa il ritardo.
conjunction,se,[се],если,Se vuoi. Se è bello.
verb,sedersi,[седэ́рси],садиться,Io mi siedo. Tu ti siedi al tavolo.
verb,sembrare,[сембра́ре],казаться,Sembra bello. Sembra felice.
noun,semestre,[семе́стре],семестр,Il semestre è finito.
adverb,sempre,[се́мпре],всегда,Sempre insieme. Sempre bello.
noun,senso,[се́нсо],смысл,Ha senso.
verb,sentire,[сенти́ре],чувствовать / слышать,Io sento. Tu senti la musica.
preposition,senza,[се́нца],без,Senza zucchero. Senza fretta.
noun,sera,[се́ра],вечер,Di sera. Buona sera.
noun,serata,[сера́та],вечер (вечеринка),Una bella serata. La serata è magica.
noun,settimana,[сеттима́на],неделя,La prossima settimana.
noun,sguardo,[згуа́рдо],взгляд,Uno sguardo malizioso.
pronoun,si,[си],да / себя,Sì! Si vede.
adjective,siciliano,[сичилиа́но],сицилийский,Lo stile siciliano.
noun,silenzio,[сили́нцьо],тишина,In silenzio.
adjective,simpatico,[симпа́тико],симпатичный,È simpatico. L’amico è simpatico.
noun,soddisfazione,[соддисфацьо́не],удовлетворение,Con soddisfazione.
adjective,sognante,[сонья́нте],мечтательный,Uno sguardo sognante.
noun,sogno,[со́ньо],сон / мечта,Un sogno romantico.
adjective,sola,[со́ла],одна,Sola in piazza.
noun,sole,[со́ле],солнце,Il sole illumina.
adjective,solo,[со́ло],только,Solo io. Solo un momento.
adverb,soprattutto,[сопратту́тто],особенно,Soprattutto adesso.
noun,sorpresa,[сорпре́за],сюрприз,Una bella sorpresa.
verb,sorridere,[сорри́дере],улыбаться,Io sorrido. Tu sorridi.
noun,sorriso,[сорри́зо],улыбка,Un sorriso grande.
noun,sorso,[со́рсо],глоток,Un sorso di vino.
preposition,sotto,[со́тто],под,Sotto il tavolo. Sotto il lampione.
adjective,spaventato,[спавента́то],напуганный,Sono spaventato.
noun,spazio,[спа́цьо],пространство,Lo spazio è grande.
adjective,speciale,[спеча́ле],особенный,Un momento speciale.
adverb,specialmente,[спеча́льменте],особенно,Specialmente stasera.
verb,sperare,[спера́ре],надеяться,Io spero. Tu speri.
noun,spettacolo,[спетта́коло],спектакль,Uno spettacolo bello.
verb,spiegare,[спьега́ре],объяснять,Io spiego. Tu spieghi.
verb,splendere,[спле́ндере],сиять,La luce splende.
noun,spritz,[спри́тц],шприц (коктейль),Un aperitivo spritz.
adverb,stamattina,[стаматти́на],сегодня утром,Stamattina è bello.
verb,stare,[ста́ре],быть / чувствовать себя,Io sto bene. Tu stai con me.
noun,stella,[стэ́лла],звезда,Le stelle brillano.
adjective,stesso,[сте́ссо],тот же,Lo stesso momento. Lo stesso posto.
noun,storia,[сто́рия],история,Una bella storia.
noun,strada,[стра́да],улица,Sulla strada. La strada è lunga.
adjective,strano,[стра́но],странный,È strano.
noun,stress,[стресс],стресс,Senza stress.
verb,studiare,[студья́ре],учить,Io studio italiano.
adjective,stupendo,[ступе́ндо],потрясающий,È stupendo! La serata è stupenda.
noun,stuzzichino,[стутцики́но],закуска,Uno stuzzichino con il vino.
adverb,subito,[су́бито],сразу,Subito! Vengo subito.
noun,successo,[сучче́ссо],успех,Un grande successo.
preposition,sul,[суль],на,Sul tavolo. Sul marciapiede.
adjective,suo,[суо́],его / её,Il suo amico. La sua casa.
adverb,sì,[си],да,"Sì! Sì, certo."
noun,tagliere,[талье́ре],доска для нарезки,Sul tagliere.
adverb,tanto,[та́нто],столько / очень,Tanto bello. Non tanto.
adverb,tardi,[та́рди],поздно,È tardi. Meglio tardi che mai.
noun,tatuaggio,[татуа́джо],татуировка,Un tatuaggio romantico.
