category,italian,pronunciation,translation,examples
adverb,dentro,[де́нтро],внутри,"Dentro la casa fa fresco. Io entro dentro."
verb,dovere,[довэ́ре],быть должным,"Io devo studiare. Noi dobbiamo partire. Voi dovete aspettare."
adjective,dieci,[диэ́чи],десять,"Dieci minuti. Sono le dieci."
adverb,direttamente,[диреттаме́нте],прямо,"Andiamo direttamente a Catania. Io vado direttamente al mare."
noun,direzione,[дирекцьо́не],направление,"In quale direzione andiamo? La direzione giusta è questa."
verb,dispiacere,[диспьяче́ре],жалеть / извиняться,"Mi dispiace tanto. Mi dispiace per il ritardo."
verb,dire,[ди́ре],говорить,"Io dico la verità. Lei dice buongiorno. Cosa dite voi?"
noun,divisa,[диви́за],форма,"La divisa è nuova."
adjective,doppio,[до́ппио],двойной,"La camera è doppia. La prenotazione è doppia."
adjective,due,[ду́э],два,"Ho due bagagli. Due ragazze arrivano."
verb,durare,[дура́ре],длиться,"La vacanza dura due settimane. Il viaggio dura poche ore."
preposition,durante,[дура́нте],во время,"Durante la cena parliamo. Durante il viaggio dormo."
conjunction,ed,[эд],и,"Ed io? Ed ecco la barca."
noun,edgard,[э́дгард],Эдгард,"Edgard è l’editore."
noun,editore,[эди́торе],издатель,"L’editore è molto gentile."
noun,effetto,[эффе́тто],эффект,"In effetti è vero. Gli effetti sono belli."
adjective,ennesimo,[энне́зимо],энный,"È l’ennesima volta."
verb,entrare,[энтра́ре],входить,"Io entro nella stanza. Entrate pure! Loro entrano nel bar."
noun,entusiasmo,[энтузиа́змо],энтузиазм,"Con grande entusiasmo. Noi andiamo con entusiasmo."
verb,esclamare,[эсклама́ре],восклицать,"Lei esclama «Caspita!». Lui esclama forte."
verb,uscire,[ушúре],выходить,"Noi usciamo dalla chiesa. Io esco ora."
verb,esercitare,[эзерчита́ре],тренировать,"Io mi esercito con l’audio. Tu eserciti la pronuncia."
verb,esistere,[эзи́стере],существовать,"Esistono molti problemi. Le granite esistono solo qui."
pronoun,esso,[э́ссо],оно,"Esso è vero."
noun,estero,[эсте́ро],заграница,"Viaggio all’estero. Vengo dall’estero."
noun,faccia,[фа́чча],лицо,"Che faccia contenta! La faccia è rossa per il caldo."
noun,fame,[фа́ме],голод,"Io ho fame. Lei ha molta fame."
verb,fare,[фа́ре],делать,"Io faccio la gita. Lei fa la colazione. Noi facciamo un giro. Cosa fate voi?"
adjective,fedele,[федэ́ле],верный,"Il cane è fedele."
noun,fine,[фи́не],конец,"Alla fine del viaggio. Fine della lezione."
adjective,fluido,[флуи́до],плавный,"La conversazione è fluida."
adverb,forse,[фо́рсе],возможно,"Forse andiamo al mare. Forse domani."
noun,fortuna,[форту́на],удача,"Che fortuna! Buona fortuna!"
noun,forza,[фо́рца],сила / давай!,"Forza! Forza, andiamo!"
noun,francesca,[франче́ска],Франческа,"Francesca è siciliana. Io parlo con Francesca."
noun,frase,[фра́зе],фраза,"Le frasi sono brevi. Io ripeto la frase."
adjective,fritto,[фри́тто],жареный,"L’arancino è fritto. Il pesce fritto è buono."
verb,funzionare,[фунциона́ре],работать,"Il ventilatore funziona bene. Tutto funziona."
adverb,fuori,[фуо́ри],снаружи,"Fuori fa molto caldo. Io sto fuori."
noun,gente,[дже́нте],люди,"Tanta gente in centro. La gente è gentile qui."
adjective,gentile,[дженти́ле],любезный,"La signora è gentilissima. Lui è molto gentile."
noun,giorno,[джо́рно],день,"Buon giorno! Ogni giorno studio. Due giorni in Sicilia."
adjective,giovane,[джо́ване],молодой,"Il giovane è simpatico. Lei è giovane e bella."
noun,giro,[джи́ро],прогулка,"Facciamo un giro in barca. Un bel giro turistico."
noun,gita,[джи́та],экскурсия,"La gita è bellissima. Noi facciamo una gita."
noun,giuseppe,[джузэ́ппе],Джузеппе,"Giuseppe è calabrese. Io parlo con Giuseppe."
noun,granita,[грани́та],гранита,"Io prendo una granita. Le granite sono buonissime."
verb,gridare,[грида́ре],кричать,"Lei grida forte. Non gridare!"
noun,gruppo,[гру́ппо],группа,"Il nostro gruppo va al mare. Il gruppo di turisti."
verb,guardare,[гуарда́ре],смотреть,"Io guardo il mare. Loro guardano la barca. Lei guarda il panorama."
noun,idea,[иде́а],идея,"Bella idea! Che buona idea! Noi abbiamo molte idee."
adjective,improvviso,[импровви́зо],внезапный,"Un improvviso rumore."
noun,incubo,[инку́бо],кошмар,"Che incubo questo caldo! È un incubo."
verb,iniziare,[иницья́ре],начинать,"Io inizio la lezione. La gita inizia ora. Noi iniziamo domani."
adverb,insieme,[инсье́ме],вместе,"Noi mangiamo insieme. Io vado insieme a te."
adjective,intero,[инте́ро],целый,"L’intero giorno al mare. L’intero viaggio è bello."
verb,interrompere,[интерро́мпере],прерывать,"Lei interrompe spesso. Non interrompere!"
adjective,irritato,[иррита́то],раздражённый,"Lei è irritata per l’afa. Lui è irritato."
noun,lacrima,[ла́крима],слеза,"Le lacrime negli occhi."
verb,lamentare,[ламента́ре],жаловаться,"Lei si lamenta del caldo. Non lamentarti! Io non mi lamento."
pronoun,lei,[лей],она / Вы,"Lei è siciliana. Lei è molto gentile."
pronoun,li,[ли],их / там,"Io li vedo. Noi li aspettiamo."
adjective,locale,[лока́ле],местный,"Il locale è tipico. Il bar locale è buono."
pronoun,lui,[луи́],он,"Lui è milanese. Lui accompagna Martina."
adjective,lungo,[лу́нго],длинный,"Il viaggio è lungo. La strada è lunghissima."
interjection,madonna,[мадо́нна],Мадонна / боже мой!,"Madonna, che caldo! Madonna mia!"
adverb,magari,[мага́ри],может быть,"Magari domani andiamo al mare. Magari sì."
verb,mantenere,[мантэнэ́ре],поддерживать,"Io mantengo la calma. Dobbiamo mantenere la calma."
noun,mare,[ма́ре],море,"Il mare è bellissimo. Andiamo al mare. Noi amiamo il mare."
noun,martina,[марти́на],Мартина,"Martina è milanese. Io parlo con Martina."
noun,mattina,[матти́на],утро,"La mattina è fresca. Io studio la mattina."
adverb,meno,[ме́но],меньше,"Meno male! Meno afa oggi."
noun,meraviglia,[мерави́лья],чудо,"Che meraviglia la Sicilia! Una vera meraviglia."
adjective,mio,[мíо],мой,"Il mio bagaglio. Le mie valigie. I miei nonni."
adjective,migliore,[мильо́ре],лучший,"La migliore granita di Catania. Questo è il migliore."
adjective,milanese,[миланэ́зе],миланский,"Martina è milanese. La ragazza milanese."
noun,milano,[мила́но],Милан,"Martina viene da Milano. Io sono di Milano."
noun,minuto,[мину́то],минута,"Dieci minuti. Pochi minuti e arriviamo."
noun,momento,[моме́нто],момент,"In questo momento fa caldo. Un momento per favore."
adjective,mondano,[монда́но],светский,"Vita mondana a Catania."
adjective,mortificato,[мортифика́то],огорчённый,"Lei è mortificata per il ritardo. Io sono mortificato."
noun,nduja,[нду́джа],ндуйя,"La nduja è piccante. Con la nduja è buonissimo."
adverb,nemmeno,[немме́но],даже не,"Nemmeno io lo so. Nemmeno lei viene."
pronoun,nessuno,[нессу́но],никто,"Nessuno arriva in ritardo. Nessuno sa la risposta."
pronoun,niente,[нье́нте],ничего,"Niente male. Niente di nuovo."
adverb,non,[нон],не,"Non è vero. Non ho fame. Non preoccupare."
noun,nonno,[но́нно],дедушка,"I nonni sono contenti. Il nonno legge il giornale."
noun,nord,[норд],север,"Il nord è diverso dal sud."
adjective,normale,[норма́ле],нормальный,"È normale con l’afa. Tutto normale."
adjective,nostro,[но́стро],наш,"Il nostro gruppo. La nostra barca. Il nostro viaggio."
noun,nota,[но́та],заметка,"Una nota importante."
noun,occhio,[о́ккьо],глаз,"Gli occhi sono belli. Apri gli occhi!"
verb,offendere,[оффенде́ре],обижать,"Non offenderti. Io non voglio offenderti."
adjective,offeso,[оффе́зо],обиженный,"Lei è offesa."
adjective,ogni,[о́ньи],каждый,"Ogni giorno studio italiano. Ogni volta è bello."
interjection,oh,[о],о!,"Oh che bello! Oh no, che afa!"
adverb,ora,[о́ра],сейчас / час,"Ora andiamo. Che ora è? Due ore di viaggio. Tante ore al mare."
noun,orario,[ора́рио],расписание,"L’orario del treno. Guarda l’orario."
noun,ordine,[о́рдине],заказ,"Che ordini? Io prendo un ordine."
noun,orologio,[ороло́джо],часы,"Gli orologi sono belli."
adjective,ottimo,[о́ттимо],отличный,"Ottima idea! L’arancino è ottimo."
noun,ottimismo,[оттими́змо],оптимизм,"Con ottimismo tutto va bene."
adjective,otto,[о́тто],восемь,"Otto minuti. Sono le otto."
adverb,ovunque,[овункуэ́],везде,"Ovunque in Sicilia è bello."
adverb,ovviamente,[оввиаме́нте],очевидно,"Ovviamente sì! Ovviamente fa caldo."
noun,pace,[па́че],покой,"Che pace qui! In pace con tutti."
noun,parola,[паро́ла],слово,"Le parole italiane sono belle. Una bella parola."
verb,passare,[пассáре],проходить,"I minuti passano velocemente. Le ore passano."
noun,pazienza,[пацье́нца],терпение,"Pazienza! Con pazienza tutto arriva."
adjective,pazzo,[па́ццо],сумасшедший,"Sei pazza! Che идея pazza!"
noun,pennichella,[пенникэ́лла],сиеста,"Io faccio una pennichella. Una piccola pennichella."
adjective,perfetto,[перфе́тто],идеальный,"La soluzione è perfetta. È semplicemente perfetto."
adjective,pesante,[пезáнте],тяжёлый,"I bagagli sono pesanti. La valigia è pesante."
verb,piangere,[пья́нджере],плакать,"Non piangere. Lei non piange."
noun,piede,[пье́де],нога,"Andiamo a piedi. Sui piedi ho le scarpe."
adverb,più,[пью],больше,"Il mare è più bello. Più grande della casa."
noun,pomeriggio,[помери́джо],послеобеденное время,"Il pomeriggio fa caldo. Nel pomeriggio andiamo al mare."
noun,pomodoro,[помодо́ро],помидор,"Il pomodoro è buono. Con il pomodoro è perfetto."
adjective,possibile,[посси́биле],возможно,"È possibile? Il più possibile."
noun,posto,[по́сто],место,"Un bel posto. Il posto è libero. I posti sono buoni."
adverb,precisamente,[пречизаме́нте],точно,"Precisamente alle otto."
verb,preferire,[преферíре],предпочитать,"Io preferisco la granita. Loro preferiscono il mare."
verb,prendere,[прэ́ндере],брать,"Io prendo il taxi. Lei prende la barca. Noi prendiamo i bagagli."
verb,prenotare,[пренота́ре],бронировать,"Io voglio prenotare la stanza."
noun,prenotazione,[пренотацьо́не],бронь,"La prenotazione è doppia."
verb,preoccupare,[преоккупа́ре],беспокоить,"Non preoccupare! Non ti preoccupare."
adjective,primo,[при́мо],первый,"Il primo giorno è bello. La prima volta."
noun,principiante,[принчипья́нте],начинающий,"Io sono principiante. Per principianti è buono."
adjective,pronto,[про́нто],готовый,"Sei pronta? La cena è pronta. Noi siamo pronti."
verb,proporre,[пропо́рре],предлагать,"Io propongo una gita. Lei propone di andare al mare."
noun,proprietaria,[проприета́рья],владелица,"La proprietaria è gentilissima."
adverb,proprio,[про́прио],именно,"Proprio adesso. È proprio bello."
noun,proseguimento,[просегвиме́нто],продолжение,"Il proseguimento del viaggio è bello."
noun,prova,[про́ва],попытка,"Prova a parlare italiano. Una buona prova."
noun,punto,[пу́нто],момент,"A un certo punto arriva il treno."
adverb,pure,[пу́ре],тоже / пожалуйста,"Pure io voglio venire. Entra pure!"
adverb,purtroppo,[пуртро́ппо],к сожалению,"Purtroppo è tardi. Purtroppo no."
noun,puzza,[пу́цца],вонь,"Che puzza! Non c’è puzza."
adverb,qua,[куа́],здесь,"Vieni qua. Qua in Sicilia è bello."
adjective,qualche,[куа́льке],несколько,"Qualche minuto. Qualche idea buona."
adjective,questo,[куэ́сто],этот,"Questo posto è bello. Queste ragazze sono simpatiche."
adverb,qui,[куи́],здесь,"Qui fa caldo. Qui a Catania."
verb,raccontare,[раконта́ре],рассказывать,"Io racconto la storia. Lei racconta la gita. Noi raccontiamo tutto."
noun,radice,[ради́че],корень,"Le radici siciliane sono forti."
noun,ragazza,[рага́цца],девушка,"La ragazza è milanese. Le ragazze sono simpatiche."
noun,ragione,[раджо́не],правота,"Hai ragione. Con ragione."
verb,reagire,[реа́джире],реагировать,"Lei reagisce male al caldo. Io reagisco bene."
noun,realtà,[реальта́],реальность,"In realtà è bello. La realtà è diversa."
noun,reception,[рече́пцион],рецепция,"Alla reception c’è la proprietaria."
noun,reggio,[ре́джо],Реджио,"Reggio Calabria è vicina."
verb,respirare,[респира́ре],дышать,"Io respiro bene. Devi respirare calma."
verb,ricominciare,[рикоминча́ре],начинать заново,"Noi ricominciamo il dialogo."
verb,ripetere,[рипете́ре],повторять,"Io ripeto la frase. Lei ripete spesso. Devi ripetere."
noun,riso,[ри́зо],рис,"Il riso per gli arancini è buono."
noun,ritardo,[ритардо],опоздание,"In ritardo di dieci minuti. Un piccolo ritardo."
adjective,rosso,[ро́ссо],красный,"La macchina è rossa."
noun,rumore,[румо́ре],шум,"Che rumore! Il rumore del mare è bello."
noun,sala,[са́ла],зал,"Nella sala c’è molta gente."
noun,salsiccia,[сальси́чча],колбаса,"La salsiccia calabrese è piccante."
noun,salvatore,[сальвато́ре],Сальваторе,"Salvatore è siciliano."
interjection,salve,[са́льве],привет,"Salve! Salve a tutti."
adjective,san,[сан],святой,"San Giuseppe."
verb,sapere,[сапэ́ре],знать,"Io so la strada. Loro sanno tutto."
noun,sapore,[сапо́ре],вкус,"Che buon sapore! Il sapore della Sicilia."
verb,essere,[э́ссере],быть,"Io sono contento. Lei è gentile. Noi siamo in Sicilia."
verb,sbrigarsi,[збрига́рси],торопиться,"Sbrigati Martina! Io mi sbrigo."
verb,scappare,[скаппа́ре],убегать,"Scappiamo dal caldo! Noi scappiamo."
noun,scarpa,[ска́рпа],туфля,"Le scarpe sono nuove."
noun,scelta,[шельта],выбор,"La scelta è buona. Buona scelta."
verb,scegliere,[шельéре],выбирать,"Io scelgo il traghetto. Lei ha scelto bene."
verb,scherzare,[скерца́ре],шутить,"Io scherzo spesso. Lei scherza sempre. Non scherzare!"
noun,schifo,[ски́фо],гадость,"Che schifo! Non è schifo."
verb,scoppiare,[ско́ппиаре],взрываться,"Loro scoppiano a ridere."
verb,scoprire,[ско́прире],обнаруживать,"Noi scopriamo la verità. Io scopro un bel posto."
adjective,scortese,[скорте́зе],невежливый,"È scortese. Non essere scortese."
preposition,secondo,[секо́ндо],по мнению,"Secondo me è bello. Secondo lei è caldo."
verb,seguire,[сегвíре],следовать,"Noi seguiamo la strada. Io seguo il gruppo."
verb,sembrare,[сембра́ре],казаться,"Sembra bello. Lei sembra stanca."
adjective,semplice,[се́мпличе],простой,"È semplice. Una cosa semplice."
verb,sentire,[сенти́ре],чувствовать,"Io sento il calore. Sentite l’afa?"
preposition,senza,[се́нца],без,"Senza problemi. Senza bagagli è difficile."
adjective,serio,[се́рио],серьёзный,"Lui è serio. Lei è seria."
pronoun,si,[си],да / себя,"Sì, certo. Si accomodi pure."
noun,sicilia,[сичи́лья],Сицилия,"La Sicilia è bellissima. In Sicilia fa caldo."
adjective,siciliano,[сичилья́но],сицилийский,"Salvatore è siciliano. Le radici siciliane."
adverb,sicuramente,[сикурамéнте],наверняка,"Sicuramente è bello. Sicuramente viene."
noun,signor,[синьо́р],господин,"Signor Edgard, salve!"
noun,signora,[синьо́ра],госпожа,"La signora è molto gentile."
noun,signorina,[синьори́на],барышня,"Le signorine sono simpatiche."
verb,smettere,[сме́ттере],прекращать,"Smetti di lamentarti! Smettila!"
noun,sollievo,[солье́во],облегчение,"Che sollievo! Un grande sollievo."
noun,soluzione,[солуцьо́не],решение,"La soluzione è perfetta. Buona soluzione."
verb,sorridere,[сорриде́ре],улыбаться,"Io sorrido. Lei sorride sempre. Con un sorriso."
adjective,spaventato,[спавента́то],напуганный,"Lei è spaventata. Io sono un po’ spaventato."
noun,spiaggia,[спья́джа],пляж,"La spiaggia è bellissima. Andiamo in spiaggia."
verb,spiegare,[спьега́ре],объяснять,"Io spiego la lezione. Devi spiegare meglio."
adjective,splendido,[спленди́до],великолепный,"Uno splendido giorno. La granita è splendida."
noun,stanza,[ста́нца],комната,"La stanza è climatizzata. Nella stanza c’è il ventilatore."
adverb,stasera,[стасэ́ра],сегодня вечером,"Stasera ceniamo insieme. Cosa fai stasera?"
adverb,stavolta,[ставо́льта],на этот раз,"Stavolta è diverso. Stavolta andiamo al mare."
noun,stazione,[стацьо́не],вокзал,"Alla stazione di Catania. Noi siamo alla stazione."
adjective,stesso,[сте́ссо],тот же самый,"Lo stesso giorno. La stessa cosa. Lo stesso posto."
noun,storia,[сто́рья],история,"La storia è bella. Io racconto una storia."
adjective,storico,[сто́рико],исторический,"Il centro storico è bellissimo."
noun,strada,[стра́да],улица,"Le strade di Catania sono belle."
verb,studiare,[студья́ре],изучать,"Io studio italiano. Noi studiamo ogni giorno."
adverb,subito,[су́бито],сразу,"Vengo subito. Subito dopo la cena."
verb,succedere,[сучче́дере],происходить,"Che succede? Cosa succede ora?"
noun,sud,[суд],юг,"Il sud d’Italia è caldo. In sud fa afa."
adjective,suo,[су́о],его / её,"Il suo bagaglio. Le sue idee. I suoi amici."
preposition,sul,[суль],на,"Sul tavolo. Sulla barca. Sul ponte."
noun,sushi,[су́ши],суши,"Il sushi è buono ma io preferisco la pasta."
noun,tacco,[та́кко],каблук,"I tacchi sono alti."
noun,tappa,[та́ппа],этап,"Questa è la prima tappa."
noun,taxi,[та́кси],такси,"Prendiamo il taxi. Io chiamo un taxi."
pronoun,te,[те],тебе,"Per te. Con te è meglio."
adjective,tecnico,[те́книко],технический,"Problema tecnico."
noun,terra,[те́рра],земля,"Sulla terra."
noun,tesoro,[тезо́ро],дорогой,"Tesoro mio, come stai?"
noun,timestamp,[таймстэмп],временная метка,"Il timestamp dell’audio."
adjective,tipico,[ти́пико],типичный,"Il cibo tipico siciliano."
verb,togliere,[тольéре],снимать,"Io tolgo i bagagli. Lei toglie le scarpe."
noun,traghetto,[траге́тто],паром,"Prendiamo il traghetto. Il traghetto per la Sicilia."
noun,trascrizione,[тразкрицьо́не],транскрипция,"La trascrizione del dialogo è utile."
adjective,triste,[три́сте],грустный,"I volti sono tristi. Non essere triste."
verb,trovare,[трова́ре],находить,"Io trovo un buon posto. Noi troviamo la soluzione. Lei trova la strada."
adjective,tuo,[ту́о],твой,"Il tuo bagaglio. La tua idea è buona."
adjective,turistico,[тури́стико],туристический,"Il giro turistico è bello."
adjective,tutto,[ту́тто],весь / всё,"Tutto bene. Tutta la Sicilia. Tutto pronto."
interjection,uffa,[у́ффа],фу / надоело,"Uffa, che caldo! Uffa!"
adjective,ultimo,[у́льтимо],последний,"Gli ultimi minuti. L’ultimo giorno."
verb,usare,[уза́ре],использовать,"Io uso il ventilatore. Usate l’aria condizionata."
noun,vacanza,[вака́нца],отпуск,"La vacanza è bellissima. In vacanza andiamo in Sicilia."
noun,valigia,[вали́джа],чемодан,"Le valigie sono pesanti. Io prendo la valigia."
verb,andare,[андáре],идти,"Io vado al mare. Loro vanno in barca. Noi andiamo a Catania."
noun,vecchietto,[веккье́тто],старичок,"Il vecchietto è gentile."
noun,veduta,[веду́та],вид,"Le vedute della Sicilia sono splendide."
verb,venire,[вени́ре],приходить,"Io vengo con te. Venite con noi! Lei viene domani."
adjective,venti,[ве́нти],двадцать,"Venti minuti. Venti euro."
noun,ventilatore,[вентилято́ре],вентилятор,"Il ventilatore funziona bene."
adverb,veramente,[вераме́нте],действительно,"Veramente bello! È veramente buono."
noun,versione,[версио́не],версия,"La versione audio è chiara."
pronoun,vi,[ви],вам,"Vi aspetto. Vi accompagno volentieri."
verb,visitare,[визита́ре],посещать,"Noi visitiamo Catania. Io visito la Sicilia."
noun,vita,[ви́та],жизнь,"La vita in Sicilia è bella."
noun,voce,[во́че],голос,"La voce è chiara. Le voci sono belle."
noun,voglia,[во́лья],желание,"Ho voglia di mare. Senza voglia di partire."
verb,volere,[воле́ре],хотеть,"Io voglio un caffè. Lei vuole la granita. Noi vogliamo viaggiare."
noun,volta,[во́льта],раз,"Questa volta è diverso. Ogni volta è bello."
adjective,vostro,[во́стро],ваш,"Il vostro gruppo. La vostra stanza è pronta."
adjective,zitto,[дзи́тто],молчать,"Zitta per favore! Zitto!"
