andiamo,[андья́мо],идём,Andiamo in piazza. Andiamo a casa. Andiamo al ponte.
angolo,[а́нголо],угол,All'angolo. Angolo di strada. Angolo di casa.
annuisce,[аннуи́сче],кивает,Lui annuisce. Annuisce con la testa.
ansia,[а́нся],тревога,Ansia per il rumore. Ansia in città.
anziano,[андзья́но],пожилой,Anziano uomo. Anziano guarda.
aperto,[апе́рто],открытый,Porta aperta. Finestra aperta. Mercato aperto.
appena,[аппе́на],едва,Appena arriva. Appena vede.
approfitta,[аппрофи́тта],пользуется,Lui approfitta. Approfitta dell'occasione.
arrende,[арре́нде],сдаётся,Lui arrende. Arrende subito.
arriva,[арри́ва],прибывает (он/она),Lui arriva. Lei arriva in piazza.
arrivano,[арри́вано],прибывают (они),Turisti arrivano. Arrivano in città.
ascolta,[аско́льта],слушает,Lui ascolta. Ascolta il rumore.
aspetta,[аспе́тта],ждёт,Lui aspetta. Aspetta il bambino.
aspettami,[аспе́ттами],подожди меня,Aspettami qui. Aspettami al ponte.
attenzione,[аттенцьо́не],внимание,Attenzione al rumore. Attenzione ai turisti.
attirare,[аттира́ре],привлекать,Attirare turisti. Attirare attenzione.
attività,[аттивита́],деятельность,Attività in piazza. Attività turistica.
attraccato,[аттракка́то],пришвартованный,Barche attraccato. Attraccato al porto.
attraversa,[аттраве́рса],пересекает,Lui attraversa. Attraversa la piazza.
attraverso,[аттраве́рсо],через,Attraverso i canali. Attraverso la città.
austriaca,[аустриа́ка],австрийка,Austriaca donna.
austriaci,[аустриа́чи],австрийцы,Austriaci turisti.
aver,[аве́р],иметь (инф.),Aver acqua. Aver pane.
avere,[аве́ре],иметь,Avere amici. Avere casa.
avete,[аве́те],у вас есть (вы имеете),Avete amici. Avete acqua.
aveva,[аве́ва],имел (он/она),Aveva casa. Aveva amici.
avventura,[аввенту́ра],приключение,Avventura affascinante. Avventura in città.
avverte,[авве́рте],предупреждает,Lui avverte. Avverte il pericolo.
avvicina,[аввичи́на],приближается,Lui avvicina. Avvicina la casa.
avvicinandosi,[аввичина́ндоси],приближаясь,Avvicinandosi al ponte.
avvicinano,[аввичи́нано],приближаются,Loro avvicinano. Avvicinano la piazza.
bagnati,[баньа́ти],мокрые,Piedi bagnati.
balena,[бале́на],кит,Balena grande.
bambini,[бамби́ни],дети,Bambini giocano. Bambini in piazza.
bambino,[бамби́но],ребёнок,Il bambino gioca. Bambino piccolo.
barche,[ба́рке],лодки,Barche in canali. Barche attraccato.
beccano,[бе́ккано],клюют,Piccioni beccano. Beccano briciole.
becco,[бе́кко],клюв,Becco di piccione.
bel,[бель],красивый (усеч.),Bel palazzo. Bel giorno.
bella,[бе́лла],красивая,Bella casa. Bella città. Bella vista.
bellissima,[белли́ссима],прекраснейшая,Bellissima Venezia. Bellissima piazza.
bello,[бе́лло],красивый,Bello palazzo. Bello ponte. Bello panorama.
beppe,[бе́ппе],Беппе (имя),Beppe parla.
bere,[бе́ре],пить,Bere acqua. Bere fresca.
bianca,[бья́нка],белая,Bianca colomba.
brevi,[бре́ви],короткие,Brevi momenti.
briciole,[бри́чоле],крошки,Briciole di pane.
brivido,[бри́видо],дрожь,Brivido di freddo.
buona,[буо́на],хорошая,Buona giornata. Buona acqua.
buono,[буо́но],хороший,Buono pane. Buono momento.
cadere,[каде́ре],падать,Cadere in acqua.
calle,[ка́лле],узкая улочка (в Венеции),Calle stretta.
calma,[ка́льма],спокойствие,Calma in piazza.
cammina,[камми́на],ходит,Lui cammina. Cammina in calle.
canal,[кана́ль],канал (усеч.),Canal grande.
canali,[кана́ли],каналы,Canali di Venezia. Canali pieni.
cane,[ка́не],собака,Il cane abbaia. Cane in cortile.
caos,[ка́ос],хаос,Caos in piazza. Caos di turisti.
capire,[капи́ре],понимать,Capire tutto. Capire la situazione.
capisce,[капи́ше],понимает,Lui capisce. Capisce il problema.
carne,[ка́рне],мясо,Carne fresca.
casa,[ка́за],дом,Casa accogliente. Casa in città.
castello,[касте́лло],замок,Castello alto.
cerca,[че́рка],ищет,Lui cerca. Cerca il cane.
cercando,[черка́ндо],ища,Cercando il ponte.
certa,[че́рта],определённая,Certa cosa.
certo,[че́рто],конечно,Certo che sì.
cessa,[че́сса],прекращается,Pioggia cessa.
che,[ке],что / который,Che cosa. Che bello.
chi,[ки],кто,Chi arriva. Chi parla.
chiacchiericcio,[кьяккьери́ччо],болтовня,Chiacchiericcio di turisti.
chiara,[кья́ра],ясная,Chiara acqua.
chiaro,[кья́ро],ясный,Chiaro giorno.
chiede,[кье́де],спрашивает,Lui chiede. Chiede la strada.
chiuse,[кью́зе],закрытые (ж.р. мн.ч.),Porte chiuse.
chiuso,[кью́зо],закрытый,Mercato chiuso.
ci,[чи],там / нам,Ci sono. Ci piace.
cibo,[чи́бо],еда,Cibo fresco. Cibo in piazza.
cielo,[че́ло],небо,Cielo limpido. Cielo nuvole.
città,[читта́],город,Città affascinante. Città di Venezia.
ciò,[чо],это,Ciò che dice.
clacson,[кла́ксон],клаксон,Clacson rumorosi.
clienti,[клие́нти],клиенты,Clienti in mercato.
colazione,[коладцьо́не],завтрак,Colazione fresca.
colomba,[коло́мба],голубь (самка),Colomba bianca.
colorate,[колора́те],цветные,Gondole colorate.
colori,[коло́ри],цвета,Colori vividi.
colpo,[ко́льпо],удар,Colpo di vento.
come,[ко́ме],как,Come stai. Come va.
comincia,[коми́нча],начинает,Lui comincia. Comincia a parlare.
cominciano,[коми́нчано],начинают,Loro cominciano. Cominciano a camminare.
con,[кон],с,Con amici. Con acqua.
confusi,[конфу́зи],растерянные,Turisti confusi.
confuso,[конфу́зо],растерянный,Lui confuso.
contenti,[конте́нти],довольные,Tutti contenti.
continua,[конти́нуа],продолжается,Pioggia continua.
coppia,[ко́ппиа],пара,Coppia di turisti.
copyright,[ко́пирайт],авторское право,Copyright editore.
corre,[ко́рре],бежит,Lui corre. Corre in piazza.
cortile,[корти́ле],двор,Cortile di casa.
cosa,[ко́за],вещь / что,Che cosa. Cosa fai.
costi,[ко́сти],расходы,Costi alti.
costruito,[коструи́то],построенный,Costruito in pietra.
così,[ко́зи],так,Così bello. Così così.
crederci,[креде́рчи],верить в это,Non crederci.
cresciuti,[крешу́ти],выросшие,Bambini cresciuti.
crociera,[кроче́ра],круиз,Crociera in nave.
cuore,[куо́ре],сердце,Cuore di Venezia.
cura,[ку́ра],забота,Cura del bambino.
curiosi,[курио́зи],любопытные,Turisti curiosi.
custodisce,[кустоди́ше],хранит,Custodisce il segreto.
da,[да],от / из,Da Venezia. Da casa.
dai,[дай],от (мн.ч.) / дай,Dai bambini.
dal,[даль],от (м.р.),Dal ponte. Dal castello.
davvero,[даве́рро],действительно,Davvero bello. Davvero affascinante.
decide,[дечи́де],решает,Lui decide. Decide di andare.
dei,[дей],некоторых (мн.ч.),Dei turisti.
del,[дель],от (м.р.),Del cane. Del bambino.
dell,[дель],от (перед гласной),Dell'acqua.
della,[де́лла],от (ж.р.),Della casa. Della piazza.
delle,[де́лле],от (ж.р. мн.ч.),Delle barche.
denti,[де́нти],зубы,Denti bianchi.
deserta,[десе́рта],пустынная,Piazza deserta.
deserte,[десе́рте],пустынные,Strade deserte.
determinazione,[детерминацьо́не],решимость,Determinazione forte.
detto,[де́тто],сказанное,Detto prima.
deve,[де́ве],должен,Deve andare. Deve bere.
di,[ди],из / о,Di Venezia. Di casa.
dice,[ди́че],говорит,Lui dice. Dice grazie.
dicevano,[диче́вано],говорили,Loro dicevano.
dicono,[ди́коно],говорят,Loro dicono. Dicono che bello.
difficile,[диффи́чиле],трудно,Difficile capire.
dirotto,[диро́тто],ливень,Pioggia dirotto.
distratti,[дистра́тти],рассеянные,Turisti distratti.
diventa,[деве́нта],становится,Lui diventa. Diventa agitato.
diventano,[деве́нтано],становятся,Loro diventano. Diventano contenti.
diventerà,[дивенте́ра],станет,Lui diventerà. Diventerà famoso.
dobbiamo,[доббья́мо],мы должны,Dobbiamo andare. Dobbiamo bere.
dogana,[дога́на],таможня,Dogana al porto.
dopo,[до́по],после,Dopo la pioggia. Dopo il pasto.
dov,[дов],где (усеч.),Dov'è.
dove,[до́ве],где,Dove abita. Dove va.
due,[ду́э],два,Due amici. Due barche.
dà,[да],даёт,Lui dà. Dà il pane.
ed,[эд],и (перед гласной),Ed acqua. Ed amici.
edgard,[э́дгард],Эдгард (имя),Edgard parla.
editore,[едито́ре],издатель,Editore copyright.
entusiasmo,[энтузиа́змо],энтузиазм,Entusiasmo forte.
era,[э́ра],был (он/она),Era bello. Era in piazza.
erano,[э́рано],были (они),Erano contenti. Erano in città.
eroe,[эро́э],герой,Eroe di Venezia.
esclama,[эскла́ма],восклицает,Lui esclama. Esclama forte.
esperto,[эспе́рто],эксперт,Esperto di Venezia.
esplorando,[эсплора́ндо],исследуя,Esplorando la città.
essere,[э́ссере],быть,Essere contenti. Essere in piazza.
fa,[фа],делает,Lui fa. Fa il gesto.
facendo,[фаче́ндо],делая,Facendo il giro.
faceva,[фаче́ва],делал (он/она),Faceva il giro.
fai,[фай],делаешь,Che fai. Fai attenzione.
famosa,[фамо́за],знаменитая,Famosa piazza.
fare,[фа́ре],делать,Fare il giro. Fare attenzione.
farà,[фара́],сделает,Lui farà. Farà il giro.
ferma,[фе́рма],останавливается (ж.р.),Lei ferma.
fermiamoci,[фермя́моччи],остановимся,Fermiamoci qui.
figura,[фигу́ра],фигура,Figura di statua.
finalmente,[финальме́нте],наконец,Finalmente arriva.
fino,[фи́но],до,Fino al ponte. Fino a casa.
fiorito,[фьори́то],цветущий,Fiorito glicine.
fischiare,[фискья́ре],свистеть,Fischiare forte.
fiutare,[фьюта́ре],чуять,Fiutare il profumo.
fiuto,[фью́то],нюх,Fiuto del cane.
focaccia,[фока́чча],фокачча,Focaccia fresca.
fontana,[фонта́на],фонтан,Fontana in piazza.
forse,[фо́рсе],возможно,Forse piove. Forse arriva.
forte,[фо́рте],сильный,Forte vento. Forte rumore.
frattempo,[фра́ттемпо],тем временем,Frattempo lui cammina.
frenetico,[френе́тико],лихорадочный,Frenetico caos.
fresca,[фре́ска],свежая,Acqua fresca. Focaccia fresca.
fresco,[фре́ско],свежий,Pane fresco.
galleggiante,[галледжа́нте],плавающий,Barche galleggiante.
gesto,[дже́сто],жест,Gesto della mano.
gettate,[джетта́те],брошенные,Briciole gettate.
gianni,[джа́нни],Джанни (имя),Gianni parla.
giardini,[джарди́ни],сады,Giardini di palazzo.
giocano,[джо́кано],играют,Bambini giocano. Piccioni giocano.
giorno,[джо́рно],день,Bel giorno. Giorno in Venezia.
giovane,[джо́ване],молодой,Giovane uomo.
giro,[джи́ро],прогулка,Fare il giro. Giro in città.
giusta,[джу́ста],правильная,Giusta strada.
giusto,[джу́сто],правильный,Giusto momento.
gli,[льи],им / the (мн.ч.),Gli amici. Gli piace.
glicine,[гли́чине],глициния,Glicine fiorito.
gondole,[гондо́ле],гондолы,Gondole colorate.
gondolieri,[гондолье́ри],гондольеры,Gondolieri in canali.
grande,[гра́нде],большой,Grande palazzo. Grande ponte.
grandi,[гра́нди],большие,Grandi palazzi.
grazie,[гра́цие],спасибо,Grazie mille. Grazie amici.
grida,[гри́да],кричит,Lui grida. Grida forte.
grigie,[гри́дже],серые,Nuvole grigie.
grossi,[гро́сси],большие,Grossi piccioni.
gruppo,[гру́ппо],группа,Gruppo di turisti.
guarda,[гуа́рда],смотрит,Lui guarda. Guarda il ponte.
guardano,[гуа́рдано],смотрят,Loro guardano. Guardano la vista.
guiderò,[гвиде́ро],поведу,Io guiderò. Guiderò il gruppo.
ha,[а],имеет (он/она),Ha amici. Ha casa.
hai,[ай],имеешь (ты),Hai acqua. Hai pane.
hanno,[а́нно],имеют (они),Hanno amici. Hanno casa.
ho,[о],имею (я),Ho amici. Ho casa.
idea,[иде́а],идея,Idea buona.
ieri,[йе́ри],вчера,Ieri in piazza.
il,[иль],the (м.р.),Il cane. Il ponte.
immensa,[имме́нса],огромная,Piazza immensa.
imponente,[импоне́нте],внушительный,Palazzo imponente.
in,[ин],в,In città. In piazza.
incontra,[инко́нтра],встречает,Lui incontra. Incontra amici.
incontrare,[инконтра́ре],встречать,Incontrare turisti.
incredibile,[инкреди́биле],невероятный,Vista incredibile.
incrociano,[инкро́чано],пересекают,Strade incrociano.
inizia,[ини́цья],начинается,Lui inizia. Inizia il giro.
inoltre,[инольтре],кроме того,Inoltre ha amici.
insieme,[инсье́ме],вместе,Insieme a amici.
intenso,[инте́нсо],интенсивный,Odore intenso.
io,[и́о],я,Io vado. Io parlo.
irresistibile,[иррезисти́биле],неотразимый,Profumo irresistibile.
italiano,[италья́но],итальянский,Italiano accento.
la,[ла],the (ж.р.),La casa. La piazza.
lascia,[ла́ша],оставляет,Lui lascia. Lascia il cane.
lasciali,[ла́шали],оставь их,Lasciali in pace.
lasciar,[лаша́р],оставить,Lasciar andare.
lasciare,[лаша́ре],оставлять,Lasciare il posto.
lasciato,[лаша́то],оставленный,Lasciato solo.
le,[ле],the (ж.р. мн.ч.),Le barche. Le gondole.
lei,[лей],она,Lei parla. Lei arriva.
lenta,[ле́нта],медленная,Camminata lenta.
li,[ли],их / там,Li vedo.
limpido,[ли́мпидо],прозрачный,Cielo limpido.
litigare,[литига́ре],ссориться,Non litigare.
lo,[ло],the (м.р. перед гласной),Lo vede.
lontana,[лонта́на],далёкая,Casa lontana.
lontano,[лонта́но],далеко,Lontano dalla piazza.
loro,[ло́ро],они,Loro parlano. Loro arrivano.
lucenti,[луче́нти],блестящие,Occhi lucenti.
lui,[лу́й],он,Lui parla. Lui arriva.
lungo,[лу́нго],длинный,Lungo ponte.
luoghi,[луо́ги],места,Luoghi di Venezia.
ma,[ма],но,Ma bello. Ma grande.
magari,[мага́ри],может быть,Magari piove.
male,[ма́ле],плохо,Male oggi.
mangiano,[ма́нджяно],едят,Loro mangiano. Mangiano pane.
mangiare,[манджа́ре],есть,Mangiare pane. Mangiare focaccia.
mangiarne,[манджа́рне],съесть его,Mangiarne un po'.
marco,[ма́рко],Марко (имя),Marco parla.
mare,[ма́ре],море,Mare vicino.
mattino,[матти́но],утро,Mattino fresco.
me,[ме],мне / меня,Con me. Per me.
meno,[ме́но],меньше,Meno rumore.
mente,[ме́нте],ум,Mente confusa.
mentre,[ме́нтре],пока,Mentre cammina.
mercato,[мерка́то],рынок,Mercato in piazza.
mescola,[ме́скола],смешивает,Lui mescola. Mescola spezie.
mescolano,[ме́сколано],смешивают,Loro mescolano. Mescolano colori.
mi,[ми],мне / меня,Mi piace. Mi dice.
minacciose,[миначчо́зе],угрожающие,Nuvole minacciose.
mio,[ми́о],мой,Mio amico. Mio cane.
modo,[мо́до],способ,In modo giusto.
molti,[мо́льти],многие,Molti turisti.
molto,[мо́льто],очень,Molto bello. Molto grande.
momento,[моме́нто],момент,Bel momento.
motoscafi,[мотоска́фи],моторные лодки,Motoscafi veloci.
muoversi,[муо́верси],двигаться,Muoversi in piazza.
muro,[му́ро],стена,Muro alto.
nati,[на́ти],родившиеся,Nati in città.
nave,[на́ве],корабль,Nave grande.
negozi,[него́ци],магазины,Negozi in calle.
nel,[нель],в (м.р.),Nel cortile. Nel canale.
nella,[не́лла],в (ж.р.),Nella casa. Nella piazza.
nelle,[не́лле],в (ж.р. мн.ч.),Nelle strade.
nemico,[неми́ко],враг,Nemico del silenzio.
nemmeno,[немме́но],даже не,Nemmeno lui.
nessuna,[нессу́на],никакая,Nessuna paura.
nessuno,[нессу́но],никто,Nessuno arriva.
nido,[ни́до],гнездо,Nido di piccioni.
niente,[нье́нте],ничего,Niente male.
noi,[но́й],мы,Noi andiamo. Noi abbiamo.
non,[нон],не,Non abbaia. Non arriva.
normalmente,[нормальме́нте],обычно,Normalmente tranquillo.
nostro,[но́стро],наш,Nostro amico.
nota,[но́та],заметка,Nota di attenzione.
notizie,[ноти́цие],новости,Notizie di Venezia.
nulla,[ну́лла],ничто,Nulla di male.
numerosi,[нумеро́зи],многочисленные,Turisti numerosi.
numeroso,[нумеро́зо],многочисленный,Gruppo numeroso.
nuovo,[нуо́во],новый,Nuovo ponte. Nuovo giorno.
nuvole,[ну́воле],облака,Nuvole grigie. Nuvole addensano.
occasione,[окказьо́не],случай,Occasione buona.
occhi,[о́кки],глаза,Occhi lucenti.
odore,[одо́ре],запах,Odore intenso.
offre,[о́ффре],предлагает,Lui offre. Offre pane.
offrono,[о́ффрано],предлагают,Loro offrono. Offrono acqua.
oggetto,[одже́тто],объект,Oggetto curioso.
oggi,[о́дджи],сегодня,Oggi in piazza.
ogni,[о́ньи],каждый,Ogni giorno. Ogni momento.
olfatto,[ольфа́тто],обоняние,Olfatto del cane.
ondeggiano,[онде́джано],колышутся,Gondole ondeggiano.
ora,[о́ра],сейчас / час,Ora arriva. Ora è bello.
osservano,[оссерва́но],наблюдают,Loro osservano. Osservano i turisti.
palazzo,[пала́ццо],дворец,Palazzo alto. Palazzo imponente.
pancia,[па́нча],живот,Pancia piena.
pane,[па́не],хлеб,Pane fresco. Pane in piazza.
panorama,[панора́ма],панорама,Panorama incredibile.
papadopoli,[пападо́поли],Пападополи (имя/место),Papadopoli parla.
parlano,[па́рлано],говорят,Loro parlano. Parlano di Venezia.
parlare,[парла́ре],говорить,Parlare italiano. Parlare con amici.
parlavano,[парла́вано],говорили,Loro parlavano.
particolare,[партикола́ре],особенный,Momento particolare.
passa,[па́сса],проходит,Lui passa. Passa la pioggia.
passare,[пасса́ре],проходить,Passare il ponte.
passati,[пасса́ти],прошедшие,Momenti passati.
pausa,[па́уза],пауза,Pausa breve.
pavimento,[павиме́нто],пол,Pavimento pulito.
pensa,[пе́нса],думает,Lui pensa. Pensa al ponte.
per,[пер],для / через,Per favore. Per acqua.
perché,[перке́],почему / потому что,Perché no. Perché bello.
perdere,[пе́рдере],терять,Perdere la strada.
perderla,[перде́рла],потерять её,Perderla subito.
pericoloso,[периколо́зо],опасный,Pericoloso ponte.
perso,[пе́рсо],потерянный,Lui perso.
pesce,[пе́ше],рыба,Pesce fresco.
pezzo,[пе́ццо],кусок,Pezzo di pane.
piano,[пья́но],тихо / этаж,Piano parla.
piazza,[пья́цца],площадь,Piazza grande. Piazza deserta.
piccione,[пиччо́не],голубь,Piccione bianco.
piccioni,[пиччо́ни],голуби,Piccioni beccano. Piccioni in piazza.
piccola,[пи́ккола],маленькая,Piccola casa.
piccolo,[пи́кколо],маленький,Piccolo bambino.
piena,[пье́на],полная,Piazza piena.
pieni,[пье́ни],полные,Canali pieni.
piero,[пье́ро],Пьеро (имя),Piero parla.
pioggia,[пьо́джя],дождь,Pioggia cessa. Pioggia dirotto.
piovere,[пьо́вере],идти (о дожде),Comincia a piovere.
piuma,[пью́ма],перо,Piuma di colomba.
piume,[пью́ме],перья,Piume di piccioni.
più,[пью],больше,Più bello. Più grande.
pochi,[по́ки],немногие,Pochi turisti.
poco,[по́ко],мало,Poco pane. Poco tempo.
poi,[пой],потом,Poi arriva. Poi cammina.
ponte,[по́нте],мост,Ponte alto. Ponte grande.
ponti,[по́нти],мосты,Ponti di Venezia.
pontili,[понти́ли],причалы,Pontili in porto.
porta,[по́рта],дверь / несёт,Porta aperta. Lui porta.
portano,[по́ртано],несут,Loro portano. Portano pane.
porto,[по́рто],порт,Porto di Venezia.
posano,[по́зано],кладут,Loro posano. Posano briciole.
possiamo,[посся́мо],мы можем,Possiamo andare. Possiamo aiutare.
posso,[по́ссо],я могу,Posso aiutare. Posso bere.
posto,[по́сто],место,Posto bello.
poteva,[поте́ва],мог (он/она),Poteva andare.
preferiti,[префери́ти],любимые,Posti preferiti.
prende,[пре́нде],берёт,Lui prende. Prende il pane.
preoccuparsi,[преоккупа́рси],беспокоиться,Non preoccuparsi.
preoccuparti,[преоккупа́рти],беспокоиться (ты),Non preoccuparti.
preoccupata,[преоккупа́та],обеспокоенная,Lei preoccupata.
preoccupato,[преоккупа́то],обеспокоенный,Lui preoccupato.
presto,[пре́сто],скоро,Presto arriva.
prima,[при́ма],сначала,Prima il giro.
principianti,[принчипиа́нти],начинающие,Principianti turisti.
profumate,[профума́те],ароматные,Spezie profumate.
profumo,[профу́мо],аромат,Profumo intenso.
pronti,[про́нти],готовые,Pronti ad andare.
pronto,[про́нто],готов,Pronto a partire.
proseguire,[просегви́ре],продолжать,Proseguire il giro.
protetto,[проте́тто],защищённый,Protetto dal vento.
prova,[про́ва],пробует,Lui prova. Prova a parlare.
pulita,[пули́та],чистая,Piazza pulita.
punta,[пу́нта],указывает,Punta il dito.
punto,[пу́нто],точка,Punto di vista.
puntuale,[пунтуа́ле],пунктуальный,Lui puntuale.
puoi,[пуо́й],можешь (ты),Puoi andare. Puoi aiutare.
purtroppo,[пуртро́ппо],к сожалению,Purtroppo piove.
può,[пуо́],может (он/она),Può andare. Può bere.
qualcosa,[квалько́за],что-то,Qualcosa di bello.
qualcuno,[квальку́но],кто-то,Qualcuno arriva.
qualunque,[квалькуа́нке],любой,Qualunque cosa.
quando,[ква́ндо],когда,Quando arriva.
quartiere,[квартье́ре],квартал,Quartiere di Venezia.
quel,[квель],тот (м.р.),Quel ponte.
quell,[квель],тот (перед гласной),Quell'angolo.
quella,[кве́лла],та,Quella casa.
quello,[кве́лло],тот,Quello palazzo.
questa,[кве́ста],эта,Questa piazza.
questo,[кве́сто],этот,Questo momento.
qui,[куи́],здесь,Qui in piazza.
racconti,[ракко́нти],рассказы,Racconti di Venezia.
ragione,[раджо́не],причина,Ha ragione.
rami,[ра́ми],ветви,Rami fioriti.
rapire,[рапи́ре],похищать,Rapire l'attenzione.
rapita,[рапи́та],похищенная,Lei rapita.
rapito,[рапи́то],похищенный,Lui rapito.
rappresenta,[раппрезе́нта],представляет,Lui rappresenta. Rappresenta Venezia.
regalo,[рега́ло],подарок,Regalo buono.
regina,[реджи́на],королева,Regina di Venezia.
replica,[ре́плика],реплика,Replica forte.
restare,[реста́ре],оставаться,Restare in piazza.
resti,[ре́сти],остаёшься,Tu resti.
rialto,[риа́льто],Риальто (мост),Rialto ponte.
ricerca,[риче́рка],поиск,Ricerca del ponte.
rifugio,[рифу́джо],убежище,Rifugio in casa.
rimangono,[рима́ньяно],остаются,Loro rimangono. Rimangono in piazza.
rimasti,[рима́сти],оставшиеся,Rimasti soli.
riparo,[рипа́ро],укрытие,Riparo dalla pioggia.
ripeto,[рипе́то],повторяю,Io ripeto. Ripeto grazie.
riposano,[рипо́зано],отдыхают,Loro riposano. Riposano al sole.
risate,[риза́те],смех,Risate forti.
risolvere,[ризо́львере],решать,Risolvere il problema.
risponde,[риспо́нде],отвечает,Lui risponde. Risponde al cane.
ritorno,[рито́рно],возвращение,Ritorno a casa.
rumorosi,[руморо́зи],шумные,Turisti rumorosi.
sa,[са],знает (он/она),Sa tutto. Sa la strada.
sai,[сай],знаешь (ты),Sai dove.
san,[сан],святой (усеч.),San Marco.
sanno,[са́нно],знают (они),Loro sanno. Sanno la città.
sapere,[сапе́ре],знать,Sapere tutto. Sapere la strada.
sarà,[сара́],будет,Sarà bello. Sarà grande.
sarò,[саро́],буду,Io sarò. Sarò in piazza.
scappa,[ска́ппа],убегает,Lui scappa. Scappa dal cane.
scomparsa,[скомпа́рса],исчезнувшая,Scomparsa improvvisamente.
scoperto,[скопе́рто],открытый,Scoperto il segreto.
scuote,[скуо́те],трясёт,Lui scuote. Scuote la testa.
scuotono,[скуо́тоно],трясут,Loro scuotono. Scuotono la testa.
scuro,[ску́ро],тёмный,Cielo scuro.
scusa,[ску́за],извини,Scusa amico.
scusami,[скуза́ми],извини меня,Scusami per favore.
se,[се],если,Se piove. Se arriva.
secondo,[сечо́ндо],по / второй,Secondo me. Secondo lui.
segni,[се́ньи],знаки,Segni di attenzione.
segno,[се́ньо],знак,Segno di mano.
segreto,[сегре́то],секрет,Segreto di Venezia.
segue,[се́гве],следует,Lui segue. Segue il gruppo.
seguirla,[сегуи́рла],следовать за ней,Seguirla in calle.
sei,[сей],ты (есть),Sei bravo. Sei in città.
sembra,[се́мбра],кажется,Sembra bello. Sembra tranquillo.
semi,[се́ми],семена,Semi di spezie.
sempre,[се́мпре],всегда,Sempre bello. Sempre in piazza.
senso,[се́нсо],смысл,Senso di odore.
sente,[се́нте],чувствует,Lui sente. Sente il profumo.
sentire,[сенти́ре],чувствовать,Sentire il profumo.
sentito,[сенти́то],почувствовал,Ha sentito.
sentono,[се́нтоно],чувствуют,Loro sentono. Sentono il rumore.
senza,[се́нца],без,Senza acqua. Senza pane.
sera,[се́ра],вечер,Sera tranquilla.
serrande,[серра́нде],жалюзи,Serrande chiuse.
serve,[се́рве],нужно,Serve acqua. Serve pane.
sfornato,[сфорна́то],свежий (из печи),Pane sfornato.
si,[си],да / себя,Si dice. Si vede.
